stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
364,9909,FINCH AVE EAST AT NEILSON RD WEST SIDE,,43.816209,-79.228536,,,,,2
365,9912,FINCH AVE EAST AT YONGE ST EAST SIDE,,43.779842,-79.414782,,,,,1
366,4750,AIRPORT RD AT BEVERLEY ST,,43.707577,-79.647762,,,,,2
367,4752,AIRPORT RD AT BRESLER DR WEST SIDE,,43.685993,-79.607576,,,,,2
368,4753,AIRPORT RD AT BRESLER DR,,43.686085,-79.606403,,,,,2
369,4768,AIRPORT RD AT VICTORY CRES,,43.707589,-79.647215,,,,,2
370,6222,ALBION RD AT ELMHURST DR,,43.725042,-79.550293,,,,,1
371,13427,ALBION RD AT HUMBERLINE DR,,43.746942,-79.621692,,,,,1
372,6228,ALBION RD AT ISLINGTON AVE,,43.737291,-79.565054,,,,,2
375,3300,ATTWELL DR AT BELFIELD RD NORTH SIDE,,43.698444,-79.593272,,,,,1
376,3297,ATTWELL DR AT DISCO RD,,43.701039,-79.594894,,,,,1
377,3299,ATTWELL DR AT MARMAC DR SOUTH SIDE,,43.695237,-79.589518,,,,,1
378,9304,ATTWELL DR AT MCLACHLAN DR,,43.693656,-79.588761,,,,,1
379,14093,AUKLAND RD AT DUNDAS ST WEST,,43.638954,-79.539233,,,,,2
380,4773,AVENUE RD AT BURNABY BLVD SOUTH SIDE,,43.704969,-79.408814,,,,,1
381,11238,AVENUE RD AT OLD ORCHARD GROVE,,43.731855,-79.419461,,,,,1
382,11936,AVENUE RD AT WILSON AVE SOUTH SIDE,,43.739415,-79.421579,,,,,2
383,13478,3174 BATHURST ST,,43.721937,-79.430488,,,,,1
384,134,BATHURST ST AT ELM RIDGE DR,,43.705395,-79.426541,,,,,1
386,143,BATHURST ST AT GLENCAIRN AVE,,43.71225,-79.427979,,,,,1
388,204,BATHURST ST AT ST CLAIR AVE WEST,,43.683275,-79.418455,,,,,1
390,9719,BATHURST ST AT STEELES AVE WEST,,43.792055,-79.445475,,,,,2
392,11641,BAYCREST AT HOME FOR AGED,,43.729774,-79.434176,,,,,2
393,11640,WAGMAN CENTRE,,43.729171,-79.439941,,,,,2
394,9122,BAYVIEW AVE AT VALLYANNA DR,,43.724199,-79.379442,,,,,1
395,3325,BELFIELD RD AT BROCKPORT DR WEST SIDE,,43.698945,-79.588836,,,,,1
396,3326,BELFIELD RD AT BROCKPORT DR,,43.698544,-79.589609,,,,,1
397,11091,BERRY RD AT PARK LAWN RD,,43.635915,-79.494083,,,,,1
398,1740,BIRCHMOUNT RD AT FINCH AVE EAST,,43.799148,-79.306217,,,,,1
399,7549,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,,43.69976,-79.265226,,,,,1
400,7550,BIRCHMOUNT RD AT HIGHVIEW AVE,,43.699574,-79.264956,,,,,1
401,9720,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,,43.820861,-79.316825,,,,,1
403,526,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,,43.644636,-79.524308,,,,,1
404,11999,BLOOR ST WEST AT ISLINGTON AVE,,43.644845,-79.52317,,,,,1
405,9952,BLOOR ST WEST AT JANE ST,,43.649118,-79.484624,,,,,1
406,11396,1388 BLOOR ST WEST,,43.657649,-79.446287,,,,,1
409,12258,BRENTCLIFFE RD AT VANDERHOOD AVE,,43.712582,-79.35886,,,,,2
411,11925,BROADVIEW AVE AT ERINDALE AVE,,43.677373,-79.358606,,,,,1
412,14314,CHURCH ST AT LOMBARD ST NORTH SIDE,,43.652135,-79.375233,,,,,2
413,4886,CHURCH ST AT UPHILL AVE,,43.708692,-79.508365,,,,,1
416,9534,CORDOVA AVE AT DUNDAS ST WEST,,43.648728,-79.528413,,,,,2
417,11619,BELLAMY RD NORTH AT PROGRESS AVE,,43.78036,-79.244074,,,,,1
418,4908,COXWELL AVE AT MORTIMER AVE (TORONTO EAST GENERAL),,43.690745,-79.326731,,,,,1
419,4911,COXWELL AVE AT PLAINS RD,,43.696055,-79.328913,,,,,1
425,1842,3450 DANFORTH AVE,,43.694178,-79.275031,,,,,1
426,9955,DANFORTH AVE AT MAIN ST,,43.688277,-79.301688,,,,,1
427,4003,KEELE ST AT KEELEGATE DR,,43.73283,-79.483379,,,,,1
428,11689,KEELE ST AT ST CLAIR AVE WEST,,43.672216,-79.467341,,,,,1
429,7899,KEELE ST AT ST CLAIR AVE WEST,,43.672009,-79.467228,,,,,1
430,10755,KEELE ST AT TORO RD,,43.75995,-79.490202,,,,,1
431,9154,KEELE ST AT WILSON AVE NORTH SIDE,,43.72718,-79.481969,,,,,1
432,14141,WILSON AVE AT KEELE ST NORTH SIDE,,43.727289,-79.481998,,,,,1
433,2752,KENNEDY RD AT EGLINTON AVE EAST,,43.731911,-79.267673,,,,,1
434,4113,KENNEDY RD AT PROGRESS AVE,,43.769265,-79.282028,,,,,1
435,13624,KING ST WEST AT SHAW ST EAST SIDE,,43.641451,-79.414528,,,,,1
437,4187,KING ST WEST AT STRACHAN AVE,,43.641936,-79.412095,,,,,1
440,4285,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,,43.704725,-79.56316,,,,,1
441,4291,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,,43.642305,-79.535426,,,,,1
443,5139,LAIRD DR AT EGLINTON AVE EAST,,43.713122,-79.364457,,,,,1
444,5213,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,,43.671144,-79.44826,,,,,2
445,11632,LANSDOWNE AVE AT DUNDAS ST WEST SOUTH SIDE,,43.649559,-79.439653,,,,,2
446,11578,LANSDOWNE AVE AT ST CLAIR AVE WEST,,43.676123,-79.450405,,,,,1
447,13068,LAWRENCE AVE EAST AT EAST AVE - ROUGE HILL GO STATION,,43.780829,-79.131368,,,,,1
448,5299,LAWRENCE AVE EAST AT ORTON PARK RD,,43.763877,-79.205766,,,,,1
449,5357,LAWRENCE AVE WEST AT CULFORD RD,,43.706494,-79.487529,,,,,1
451,6046,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,,43.698378,-79.522285,,,,,2
452,5410,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,,43.717543,-79.437933,,,,,1
453,5415,LAWRENCE AVE WEST AT WESTON RD,,43.700276,-79.516006,,,,,1
454,11638,LAWRENCE PLAZA AT CANADA TRUST,,43.719613,-79.432586,,,,,1
455,11637,LAWRENCE SQ AT NORTHWEST ENTRANCE,,43.717187,-79.448281,,,,,1
456,11145,LESLIE ST AT EASTERN AVE,,43.661641,-79.329622,,,,,1
457,5451,LESLIE ST AT KIRKWOOD RD NORTH SIDE,,43.757087,-79.36075,,,,,1
458,5455,LESLIE ST AT LAWRENCE AVE EAST,,43.734288,-79.355687,,,,,1
459,11377,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,,43.662648,-79.330047,,,,,1
461,1242,LONSDALE RD AT AVENUE RD EAST SIDE,,43.690834,-79.402303,,,,,1
462,13366,EXHIBITION LOOP AT MANITOBA DR,,43.636511,-79.41471,,,,,2
463,12584,EXHIBITION LOOP,,43.636331,-79.415373,,,,,2
465,6528,TORONTO ZOO,,43.819735,-79.179955,,,,,1
466,6527,TORONTO ZOO,,43.819606,-79.17988,,,,,1
467,6526,TORONTO ZOO,,43.819273,-79.179669,,,,,1
468,5519,ROUGE HILL GO STATION LOOP,,43.780719,-79.130474,,,,,1
469,10939,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,,43.78087,-79.129807,,,,,2
470,6530,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,,43.780678,-79.130154,,,,,1
471,6532,HUMBER LOOP AT THE QUEENSWAY,,43.631119,-79.478867,,,,,1
472,6523,HUMBER LOOP AT THE QUEENSWAY,,43.631002,-79.47873,,,,,1
475,7948,EARLSCOURT LOOP AT ST CLAIR AVE WEST,,43.675983,-79.451027,,,,,2
477,4435,LONG BRANCH LOOP,,43.592111,-79.5437,,,,,1
478,10927,QUEENS QUAY LOOP AT LOWER SPADINA AVE,,43.638419,-79.39184,,,,,1
481,11155,SUNNYSIDE LOOP,,43.639046,-79.448354,,,,,2
485,14061,WESTWOOD MALL LOOP AT MORNING STAR DR,,43.721726,-79.640711,,,,,2
486,2852,LUMSDEN AVE AT WESTLAKE AVE,,43.694557,-79.307848,,,,,2
487,11364,PROGRESS AVE AT MARKHAM RD EAST SIDE,,43.781933,-79.233259,,,,,1
488,11635,QUEEN ELIZABETH HOSPITAL AT 130 DUNN AVE,,43.635202,-79.432965,,,,,2
489,11845,QUEEN ST EAST AT KINGSTON RD,,43.667029,-79.312948,,,,,1
490,13461,QUEEN ST EAST AT KINGSTON RD,,43.667119,-79.31289,,,,,2
491,6051,QUEEN ST WEST AT SHAW ST,,43.644499,-79.416852,,,,,1
492,8038,QUEEN'S PARK CRES WEST AT HOSKIN AVE,,43.665601,-79.393747,,,,,1
493,1459,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,,43.66527,-79.391226,,,,,1
494,1461,QUEEN'S PARK CRES WEST AT QUEEN'S PARK CRES WEST,,43.666165,-79.39324,,,,,1
495,1463,QUEEN'S PARK CRES WEST AT UNIVERSITY LIBRARY,,43.66214,-79.392766,,,,,1
496,12139,THE QUEENSWAY AT MORGAN AVE,,43.626433,-79.501779,,,,,1
497,6920,THE QUEENSWAY AT STEPHEN DR,,43.630517,-79.484019,,,,,2
498,6923,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,,43.637314,-79.470466,,,,,1
499,11631,55 RANKIN AVE,,43.658448,-79.446615,,,,,2
500,6011,RATHBURN RD AT LLOYD MANOR RD,,43.659201,-79.546369,,,,,1
501,10880,REDPATH AVE AT BROADWAY AVE,,43.710484,-79.393722,,,,,2
502,11109,REDPATH AVE AT BROADWAY AVE,,43.710686,-79.393966,,,,,1
